NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
LORD LONSDALE,LAX,SINGLE,,,T.PALE APRICOT; S. PALE APRICOT; GREEN TIPS. COROLLA ORANGE PEACH.,RAISER UNKNOWN,UK
LORD ROBERTS,UPRT BUSH,SGLE,1909,,T.SHORT SCARLET.S.SCARLET HELD HORIZONTAL.C.RICH PURPLISH-VIOLET.FLRS LARGE.,PARENTAGE UNKNOWN. OFTEN CONFUSED WITH ROYAL PURPLE.,LEMOINE
LOREN ADELE,UPRT BUSH,,,,T&S.PINKISH ROSE.C.RED STRIPED MAUVE.,UNKNOWN SEEDLING. RAISED BY MRS DAUE.,DAUE.MRS.N.Z
LORRAINE LEE,TRAILER,SGLE,,,T&S.DEEP PINK.C.MAUVISH VIOLET.FADING ROSY LILAC.,PARENTAGE UNKNOWN.,UNKNOWN
LORRAINE'S DELIGHT,TRAILER,DUBL,1985,1807,T.CRIMSON.S.VERY LONG FULLY REFLEX.NEYRON ROSE.C.CYCLAMEN TO PURPLE-VIOLET.,PINK MARSHMALLOW X MIDNIGHT SUN.RAISED AUST. 1992 IMPORT,RICHARDSON
LORREL,TRAILER,DUBL,,,T&S.ROSE RED.C.DARK VIOLET.BASE RED.,PARENTAGE UNKNOWN.ORIGINALLY KNOWN AS IMPULSE.RAISED N.Z,McCONCHIE
LOTHARIO,TRAILER,SIDL,1971,954,T&S.PINK.S.VERY LONG.C.FUCHSIA PURPLE.FLOWERS LARGE.,PARENTAGE UNKNOWN.,KENNETT
LOTTIE HOBBY,LABU-TRAL,SGLE,,1838,T&S.CRIMSON.VERY SMALL.C.DARK CRIMSON.SMALL FLOWERS.,F.BACILLARIS X. ENCLIANDRA TYPE.,EDWARDS
LOUISE EMERSHAW,TRAILER,DUBL,1972,1072,T.THIN WHITE.S.WHITE AND LONG.C.JASPER RED.,PARENTAGE UNKNOWN.,TIRET
LOVABLE,LABU-TRAL,DUBL,1963,580,T.SHORT RED.BROAD SEPALS DEEP RED.C.ORCHID PINK.VEINED DEEPER PINK.,PARENTAGE UNKNOWN.,ERICKSON
LOVE KNOT,LABU-TRAL,DUBL,1979,1512,T&S.ROSE MADDER.SEPALS WIDE AND UPTURNED.C.VIOLET STEAKED ROSE MADDER.,PARENTAGE UNKNOWN.,WALKER
LOVELY BLUE,LABU-TRAL,DUBL,1977,1407,T.OFF WHITE.S.WHITE PALE PURPLE BASE.C.ROSEINE PURPLE.VIOLET-PURPLE EDGES.,PARENTAGE UNKNOWN.,SOO-YUN
LOVELY FAIRY,LAX-BUSH,SGLE,,,T&S.WHITE.C.PURPLE. SMALL FLOWERS.,PARENTAGE UNKNOWN. 1992 IMPORT. GRO-WEL.,UNKNOWN
LOVELY LADY,VIG UPRT,DUBL,1967,700,T.PALE PINK.S.WHITE TINGED PINK.C.CARMINE-ROSE.OUTER PETALS SPLASHED PINK.,PARENTAGE UNKNOWN.,PASKESEN
LUCKY STRIKE,UPRT BUSH,SIDL,1943,,T&S.IVORY PINK.DARKER INSIDE.C.CENTRE BLUEISH PURPLE OUTER MARKED PINK.,PARENTAGE UNKNOWN,NIEDERHOLZER
LUCRETIA BORGIA,,,,,NO INFORMATION,,
LULLABY,TRAILER,DUBL,1953,191,T&S.NEAR WHITE.SEPALS RECURVED.C.WARM ROSE.,PARENTAGE UNKNOWN.,REITER
LUNAR LIGHT,LABU-TRAL,DUBL,1971,1005,T&S.LIGHT SALMON.C.LIGHT ORANGE RED.LARGE GLOBULAR BLOOMS.,PARENTAGE UNKNOWN.,ANTONELI
LUNAR NIGHT,TRAILER,SIDL,,,T.SOFT PINK.S.PINK.DEEPER PINK OUTER.C.SMOKY ORANGE.,PARENTAGE UNKNOWN. RAISED IN N.Z.NOT AS LUNAR LIGHT.,UNKNOWN.N.Z
LUSCIOUS,LABU-TRAL,DUBL,1960,445,T.DARK RED.S.WIDE DARK RED.C.WINE AND RED.MARBLED ORANGE.LARGE BLOOMS.,PARENTAGE UNKNOWN.,MARTIN
LUSCIOUS LADY,LOW UPRT,DUBL,1987,2088,T.CREAM FLUSHED PINK.S.WHITE-PINK.TIPS GREEN.C.SEA LAVENDER VIOLET.TO PINK.,ALASKA X SALLY. RAISED BY SHARPE.,SHARPE.N.Z
LUSCOMBE'S CHOICE,TRAILER,DUBL,1968,791,T&S.PINK.TIPS GREEN.C.PINK.LARGE LOOSE FLOWERS.LONG BUDS.,PARENTAGE UNKNOWN.,PRENTICE
LUSTRE IMPROVED,UPRT BUSH,SGLE,1870,,T&S.CREANY WHITE SUFFUSED PINK.C.BRIGHT SCARLET SHADED SALMON.LARGE.,PARENTAGE UNKNOWN.,PAGE
LUV,TRAILER,SGLE,1969,866,T&S.PINK.S.LONG.C.BLUE FADES TO LAVENDER.BELL SHAPE.,PARENTAGE UNKNOWN.,KENNETT
LYDIA BIGNELL,UPRT BUSH,SGLE,,,T.PINK.S.SOFT PINK RECURVED AND LONG.C.WHITE.VEINS PINK.,SPORT FROM FLYING CLOUD. RAISED BY V.THOMPSON.,THOMPSON.N.Z
LYE'S EXCELSIOR,MED UPRT,SGLE,1887,,T&S.WAXY WHITE.SEPALS TINTED PINK.C.RICH SCARLET CERISE.,PARENTAGE UNKNOWN. CAN BE CONFUSED WITH JOY PATMORE.,LYE
LYE'S OWN,UPRT BUSH,SGLE,1871,,T&S.WAXY WHITE.C.PINKISH LILAC.,PARENTAGE UNKNOWN.,LYE
LYE'S UNIQUE,UPRT BUSH,SGLE,1886,,T&S.WAXY WHITE.C.DELIGHTFUL SHADE OF SALMON-ORANGE.,PARENTAGE UNKNOWN. SYN.KOLDING PEARL.,LYE
LYNN ELLEN,UPRIGHT,DUBL,1962,541,T.ROSE PINK.S.UPTURNED ROSE PINK.C.ROSE PURPLE CHANGING TO ROSE AS OPENS.,PARENTAGE UNKNOWN.,ERICKSON
LYRIC,TRAILER,DUBL,1964,612,T&S.WHITE TOUCHED PINK.C.ORCHID ROSE.FADES TO VARIOUS SHADES OF ROSE.,PARENTAGE UNKNOWN.,KENNETT
MABEL GREAVES,UPRIGHT,SIDL,1982,,T.WHITEAND GREEN.S.WHITE COVERING TUBE.TIPS GREEN.C.WHITE.,SEEDLING FROM STRING OF PEARLS.,CLARK
MABELLE EDWARDS,UPRT BUSH,SGLE,1957,311,T&S.FROSTY WHITE.CURLING INWARDS.C.PALE PINK.FOUR OVERLAPING PETALS.BELL.,PARENTAGE UNKNOWN. LISTED IN N.Z.AS MAYBELLE EDWARDS.,WALTZ
MACHU PICCHU,LABU-TRAL,SGLE,1977,,T.LONG EMPIRE ROSE.S.HORIZONTAL ROSE.JASPER RED UNDERNEATH.C.SCARLET.,SPECIOSA X UNKNOWN.BOULL.SAYS SIM.TO COACHMAN-TANGERINE?,DE-GRAAFF
MADAM BROWN,UPRT BUSH,SGLE,,,T&S.STRIKING BRIGHT RED.C.DEEP VIOLET.BASE SHADING RED.,PARENTAGE AND RAISER UNKNOWN. LISTED IN N.Z.CATALOGUES.,UNKNOWN.N.Z
MADAM BRUANT,UPRT BUSH,SIDL,1867,,T&S.RED.C.DEEP MAUVE-VIOLET CHANGING TO LAVENDER.,PARENTAGE UNKNOWN. LISTED BY ESSIG.,LEMOINE
MADAME CORNELISSEN,UPRT BUSH,SIDL,1860,,T&S.RICH SCARLET.C.WHITE VEINED CERISE.FLOWERS SMALL.,PARENTAGE UNKNOWN.,CORNELISEN
MADAME JULES CHRETIEN,UPRT BUSH,DUBL,1888,,T&S.RED.C.WHITE.,PARENTAGE UNKNOWN. A.SWEETMAN SAYS RAISED BY CHRETIEN.,BONNET
MADAME VAN DER STRASSE,UPRT BUSH,SGLE,1930,,T&S.LIGHT REDDISH-CERISE.C.WHITE.VEINED AND FLUSHED CERISE.,PARENTAGE UNKNOWN.,HAZARD
MAGENTA FLUSH,UPRIGHT,DUBL,1970,878,T.SPINEL RED.S.SPINEL RED.TIPS GREEN.C.MAGENTA ROSE.FLUSHED ROSE RED.,PEPI X MELODY.,GADSBY
MAGIC FLUTE,TRAILER,SGLE,1975,1275,T.THICK WAXY WHITE.S.WHITE TIPS CHARTREUSE.C.CORAL-ROSE.WHITE NEAR TUBE.,PARENTAGE UNKNOWN.,HANDLEY
MAHARAJA,UPRIGHT,DUBL,1971,950,T.PINK.S.PINK TO SALMON.TIPS GREEN.C.DARK PURPLE.SALMON AND ORANGE MARBLING.,PARENTAGE UNKNOWN.,CASTRO
MAIK LUIJTEN,UPRT TRAILER,DUBL,2006,6107,SEPALS LIGHT PURPLE UPPER; MAGENTA LOWER; COROLLA DARK PURPLE,MAXIMA X ROESSE TUREIS,BUITTING
MAJOR HEAPHY,UPRT BUSH,SGLE,,,T&S.BRICK RED.TIPED GREEN.C.REDDISH-SCARLET.FLOWERS SMALL.,PARENTAGE AND DATE UNKNOWN.,UNKNOWN
MAJORETTE,,,,,"RAISED BY ""RANKIN"". NO DESCRIPTION.",BOB MAJOR X WINE AND ROSES. RAISED BY RANKIN.,RANKIN.N.Z
MALIBU,UPRT BUSH,SGLE,1953,183,T&S.CORAL PINK.C.ROSE-MADDER. FLOWERS BELL SHAPED.,PARENTAGE UNKNOWN.,EVANS
MALIBU MIST,LABU-TRAL,DUBL,1985,1816,T.WHITE.S.WHITE INNER TINGED PINK OUTER SURFACE.C.BLUE VIOLET STREAKED PINK.,ADDA PERRY X TRADE WINDS. 1992 IMPORT.,STUBBS
MALIBY,TRAILER,SGLE,,,T&S.WHITE.C.CERISE.FOUND AND LISTED BY WILLOWGROVE NURSERIES.,PARENTAGE UNKNOWN.NOT AS MALIBU.MALIBY IS A TRAILER.,UNKNOWN.N.Z
MAMA BLEUSS,LABU-TRAL,DUBL,1959,383,T&S.PINK.C.PALE BLUE.STREAKED DEEP BLUE.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
MANAPOURI,UP/TRAILER,DUBL,2009,,SEPALS LIGHT PINK WITH GREEN TIPS; COROLLA TOMATO RED; MATURING CARMINE,NO INFORMATION,MICHIELS BELG
MANCUNIAN,LABU-TRAL,DUBL,1985,,T.LONG.WHITE TURNING RED.S.WHITE.RECURVED.C.WHITE.VEINED PINK.,PARENTAGE UNKNOWN.,GOULDING
MANDARIN,LABU-TRAL,SIDL,1963,582,T&S.PALE SALMON PINK.TIPS GREEN.C.GLOWING ORANGE CARMINE.LARGE.,PARENTAGE UNKNOWN. TWO OF THIS NAME.,SCHNABEL
MANHATTAN,UPRIGHT,DUBL,1956,277,T&S.PINK.S.INSIDE CORAL PINK.OUTER IVORY.REFLEXED.C.VIOLET.PINK AT BASE.,PARENTAGE UNKNOWN.,SMITH.
MANTILLA,TRAILER,SGLE,1948,1,TRIPHYLLA.T.LONG TAPERING CARMINE.S.LIGHT CARMINE.C.BRILLIANT VERMILION.,TRIPHYLLA.F.TRIPHYLLA X SAN FRANCISCO.,REITER
MAORI MAID,TRAILER,DUBL,1966,690,T&S.RED.C.PURPLE.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
MARCEL MICHIELS,UPRIGHT,DUBL,2004,5362,SEPALS RED; COROLLA DARK RED,ROESSE APUS X BICENTENNIAL,ROES
MARCIA,UPRT BUSH,SGLE,,,T&S.CRIMSON.C.BRIGHT RED.,PARENTAGE UNKNOWN.SYN.MARCIA SMITH.RAISED BY L.SMITH,SMITH.L.N.Z
MARCIA SMITH,UPRT BUSH,SGLE,,,RICH RED NEAR SELF.SYN.MARCIA.FLOWERS SHAPE OF DISPLAY.,PARENTAGE UNKNOWN.SYN. MARCIA.,SMITH.L.N.Z
MARCUS GRAHAM,MED UPRT,DUBL,1985,1817,T.LONG.& S.WHITE TO FLESH PINK.FULLY REFLEXD.C.DUSKY-PINK.STREAKED ORANGE.,VICTORIAN X CYNDY ROBYN.,STUBBS
MARDI GRAS,UPRT BUSH,DUBL,1958,358,T&S.RED.C.DARK PURPLE.HEAVILY MOTTLED PINK.FLOWERS LARGE.,PARENTAGE UNKNOWN.,REEDSTROM
MARGARET,VIG BUSH,SIDL,1937,,T&S.CARMINE SCARLET.C.VIOLET.VEINED CERISE.,F.MAGELLANICA VAR.ALBA.X HERITAGE. SIMILAR TO ARMY NURSE,WOOD
MARGARET JUNE,,,,,,,
MARGARET KENDRICK,UPRIGHT,DUBL,1995,3352,SEPALS DARK ROSE; VEINED WHITE; COROLLA WHITE,JOY BIELBY X SPION KOP,SINTON
MARGARET PILKINGTON,UPRIGHT,SGLE,1984,,T&S.WAXY WHITE.C.BISHOPS VIOLET MATURING TO MALLOW PURPLE.,PARENTAGE NOT STATED.,CLARK
MARGARET ROE,LOW UPRT,SGLE,1968,975,T&S.ROSY RED.C.PALE VIOLET PURPLE.,CAROLINE X DERBY BELLE.SISTER SEEDLING TO LADY I.BARNETT,GADSBY
MARGARET ROSE,UPRT BUSH,SGLE,1976,1380,T.SHORT THICK ROSE.S.NEYRON ROSE.TIPS GREEN.C.NEYRON ROSE.RED PICOTEE EDGE.,PARENTAGE UNKNOWN.,HOBBS
MARGARET'S PEARLER,UPRIGHT,SGLE,1991,2732,T.LIGHT PINK.S.PINK.RECURVED.OLIVE GREEN TIPS.C.VIOLET WITH DARKER EDGES.,WHITE KING X LORD LONSDALE. AUSTRALIA.1992 IMPORT.LOST.,RICHARDSON
MARIA LANDY,UPRIGHT,SGLE,1991,2784,T.PINK.S.PALE PINK ON UPPER.PINK ON LOWER SURFACE.C.VIOLET FADING TO ROSE.,BAMBINI X JENNY SORENSON. 1997 IMPORT BY HAYES.,WILKINSON
MARIA-MATHILDA,TRAILER,DUBL,2005,5671,SEPALS REDDISH PURPLE; COROLLA DARK REDDISH PURPLE,ROESSE BLACKY X HEIKAMTENAER,MICHIELS BELG
MARIANNE,UPRT BUSH,SIDL,1973,,T&S.DEEP PINK.C.LIGHT VIOLET BLUE.,PARENTAGE UNKNOWN. TWO OF THIS NAME.,CURTIS
MARIE-LOUISE DE WATCHER,UPRIGHT,DUBL,2005,5831,SEPALS LIGHT PINK TIPPED GREEN; COROLLA REDDISH PURPLE,,MICHIELS BELG
MARILYN OLSEN,UPR-TRAIL,SGLE,1987,2147,T&S.DEEP ROSY PINK. C.ALMOST WHITE.PALEST NEYRON ROSE.,PARENTAGE NOT STATED.,WILKINSON
MARIN BELLE,VIG UPRT,SGLE,1959,388,T&S.SALMON PINK.SEPALS COVER TUBE.C.PANSY VIOLET.VEINED PINK.BELL SHAPE.,PARENTAGE UNKNOWN.,REEDSTROM
MARIN GLOW,UPRT BUSH,SGLE,1954,204,T&S.PURE WAXY-WHITE.C.IMPERIAL PURPLE.AGEING TO MAGENTA.,PARENTAGE UNKNOWN.,REEDSTROM
MARIN JEWEL,UPRT BUSH,DUBL,1956,255,T&S.FLESH PINK.SEPALS UPTURNED.C.MALLOW PURPLE.APRICOT PINK AT BASE.,PARENTAGE UNKNOWN.,REEDSTROM
MARIN MONARCH,VIG UPRT,DUBL,1955,239,T&S.RED.C.ROYAL PURPLE FADING QUICKLY TO DARK RED AND PURPLE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,REEDSTROM
MARINKA,TRAILER,SGLE,1902,,T&S.RICH RED.C.SLIGHTLY DARKER RED.ALMOST A SELF.,PARENTAGE UNKNOWN.,ROZAIN
MARIO FUHRMANN,UPRT TRAILER,DUBL,2008,7199,SEPALS PINKISH WHITE; COROLLA VIOLET,,MICHIELS BELG
MARJORIE KAY,UPRT BUSH,SGLE,,,T.WHITE.S.FLUSHED ROSE.C.RASPBERY RED.,PARENTAGE UNKNOWN. RAISED BY McCONCHIE.N.Z,McCONCHIE
MARLEAS MARLOT,UPRIGHT,DISL,1961,3923,T.PINK S. DARK ROSE.GREEN TIPS,LOCHINVAR X LITTLE JEWEL,ROES
MARLENE GILBEE,LABU-TRAL,DUBL,1985,1808,T.SHORT ROSE.S.ROSE FLUSHED WHITE.TIPS GREEN.C.VIOLET TO IMPERIAL PURPLE.,PIO PICO X WHITE KING. RAISED AUSTRALIA.,RICHARDSON
MARS,TRAILER,SIDL,1977,1414,T.SHORT THICK ROSE PINK.S.SHORT PINK.C.CARDINAL RED.PALER BASE.,PARENTAGE UNKNOWN. ANOTHER OF THIS NAME RAISED 1863.,HANDLEY
MARTHA,,,,,SEPALS CHERRY RED; COROLLA VIOLET/PURPLE,PARENTAGE UNKNOWN,
MARTY,LABU-TRAL,DUBL,1962,527,T&S.PINK.C.ORCHID PINK.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
MARTYN SMEDLEY,UPRT BUSH,SGLE,1968,974,T&S.NEYRON ROSE.C.BLUE BIRD BLUE CENTRE.WISTERIA BLUE SHADED WHITE OUTSIDE.,UPWARD LOOK X BON ACCORDE.,GADSBY
MARY,UPRIGHT,SGLE,1894,,T.LONG SLENDER CRIMSON RED.S.SHORT BRIGHT CRIMSON.C.SHORT.BRILLIANT CRIMSON.,TRIPHYLLA.F.TRIPHYLLA X F.CORYMBIFLORA.(SYN.BOLIVIANA),BONSTEDT
MARY ANN,UPRT BUSH,SGLE,1846,,T&S.WHITE.C.RED.,PARENTAGE UNKNOWN.,BARKWAY
MARY E.WARE,MED BUSH,DUBL,1945,,T&S.PALE PINK.C.PALE PINK SELF.LARGE FLOWERS.,PARENTAGE UNKNOWN.,NIEDERHOLZER
MARY ELLEN GUFFEY,TRAILER,DUBL,1989,2399,T.DARK ROSE.S.RED TO ROSE.C.PINK.MATURING ORCHID PINK.LARGE BLOOMS.,SUZY X VICTORIAN.,STUBBS
MARY FAIRCLO,TRAILER,SGLE,1955,,T&S.DEEP PINK.C.ALL PINK SELF.SHAPED LIKE A CHRISTMAS BELL.,PARENTAGE UNKNOWN.,FAIRCLO
MARY JOAN,TALL UPRT,DUBL,191,1632,T&S.ROSE MADDER.C.LIGHT AND DEEP LAVENDER STREAKED LIGHT AND DARK CERISE.,PARENTAGE UNKNOWN.,CAUNT
MARY LOCKYER,UPRT BUSH,DUBL,1967,,T.RED.S.BROAD RED.TIPS GREEN.C.LIGHT LILAC.MARBLED RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,COLVILLE
MARY POPPINS,BUSH,SGLE,1967,,T&S.PALE APRICOT.TIPS PINK.C.ORANGE-VERMILLION.,PARENTAGE UNKNOWN.,NEED
MARY RANKIN,,,,,"RAIED BY ""RANKIN"" N.Z. NO DESCRIPTION.",CHECKERBOARD X RENOWN. RAISED BY RANKIN.,RANKIN.N.Z
MASQUERADE,TRAILER,DUBL,1963,590,T.SHORT PINK.SEPALS PINK TO FLESH.C.MEDIUM PURPLE.PLEATED AND MARBLED PINK.,PARENTAGE UNKNOWN.,KENNETT
MATTHEW S.JACKSON,TRAILER,SGLE,1990,2583,T.PINK.S.ROSE.CREPED ON LOWER SURFACE.TIPS YELLOW.C.MAGENTA EDGED DARK ROSE,WHITE KING X LORD LONSDALE. RAISED AUSTRALIA.1992 IMPORT,RICHARDSON
MAUVE BEAUTY,UPRT BUSH,DUBL,1869,,T&S.CERISE.C.LILAC-MAUVE.,PARENTAGE UNKNOWN.,BANKS
MAUVETTE,TRAILER,SGLE,1955,238,T&S.WAXY DARK PINK.C.MAUVE PINK.LONG BLUSHED WHITE BUDS.,PARENTAGE UNKNOWN.,REEDSTROM
MAVORA,UP/TRAILER,DUBL,2009,,SEPALS WHITH WITH YELLOW GREEN EDGING; COROLLA DULL ROSE PURPLE,NO INFORMATION,MICHIELS BELG
MAXIMA,UPRT TRAILER,SIDL,2002,4795,SEPALS RED PURPLE; COROLLA DARK PURPLE;,?ROHEES NEW MILLENIUM X (ROHEES ALRAMI X ?STAD ELBURG,ROES
MAXIMA'S GIRL,UPRT TRAILER,SIDL,2006,6175,S.LIGHT PINK UPPER; ROSE LOWER C.PURPLE MATURES DARK RED.PURPLE,NO INFORMATION,ROES
MAY QUEEN,UPRT TRAILER,DUBL,1962,519,TUBE & SEPAL PINKISH WHITE; COROLLA PALE BLUE/PINK,PARENTAGE UNKNOWN,MARTIN
MAYBELLE EDWARDS,UPRT BUSH,SGLE,,,T&S WHITE.C CLEAR PINK.LISTED IN EARLY N.Z.CATALOGUES.,PARENTAGE UNKNOWN. CORRECT SPELLING IS MABELLE EDWARDS.,WALTZ
MAYFLOWER,TRAILER,DUBL,1956,248,T&S.DEEP PINK TO ROSE.TIPS GREEN.C.LIGHT PINK.LARGE FLOWERS.,PARENTAGE UNKNOWN. TWO OF THIS NAME.RED & WHITE BY SMITH,HODGES
MAYLA MAGONAGLE,TALL UPRT,SGLE,1996,3457,T.CREAMY PINK.S.PALE PINK.CURLED IN A CIRCLE.C.MAUVE CERISE.,FOUND SEEDLING. RAISED BY M.MAGONAGLE.,MAGONAGLE.NZ
MAYTIME,LABU-TRAL,DUBL,1965,649,T&S.ROSY-PINK.C.LILAC.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
MAZDA,UPRT BUSH,SGLE,1947,,T&S.PALE ORANGE AND PINK.C.CARMINE ORANGE.PALER AT BASE.,PARENTAGE UNKNOWN,REITER
MEADOWLARK,TRAILER,DUBL,1971,956,T.LONG WHITE.S.WHITE TIPS GREEN AND RECURVED.C.PURPLE-ROSE.STREAKED WHITE.,PARENTAGE UNKNOWN. REGISTRATION COLOUR INCORRECT.,KENNETT
MEDALLION,UPRT BUSH,DUBL,1968,761,T.SHORT NEAR WHITE.S.PALE PINK.C.PALE PINK.LARGE FLOWERS.,PARENTAGE UNKNOWN.,PASKESEN
MEDUSA,LABU-TRAL,SIDL,1976,,T.LONG CRIMSON.S.HORIZONTAL CRIMSON.C.WHITE.SNAKE LIKE PETALOIDS.FLRS.LARGE.,CENTERPIECE X UNKNOWN.,DE-GRAAFF
MEL NEWFIELD,VIG UPRT,DUBL,1952,109,T.SHORT RED.S.LONG TURKEY-RED AND REFLEX.C.AMETHYST VIOLET MARBLED CARMINE.,PARENTAGE UNKNOWN.,SCHNABEL
MELODY,UPRT BUSH,SGLE,1942,,T&S.PALE ROSE PINK.RECURVED.C.PALE CYCLAMEN PURPLE.,PATTY EVANS X MRS VICTOR REITER.,REITER
MENDOCINO ROSE,TALL UPRT,DUBL,1976,1384,T.THIN PALE PINK.S.LONG BROAD CARMINE ROSE.C.CARMINE-ROSE.VAR.RED AND PURPLE,PINK MARSHMALLOW X AL STETTLER. 1992 IMPORT.,STUBBS
MEPHISTO,UPR.CLIMBER,SGLE,1941,,T & S SCARLET; COROLLA DEEP CRIMSON; SMALL FLOWERS; IN CLUSTERS.,f.lycoides x MRS RUNDLE,REITER. USA
MERIMBULA GIANT,UPRT BUSH,DUBL,1975,,T&S.RED.C.WHITE FLUSHED PINK WITH HEAVY PINK VEINING.,ENGELMANNS GIANT X UNKNOWN. RAISED AUSTRALIA. 1992 IMPORT.,LOCKERBIE
MERLE EVANS,UPRT BUSH,DUBL,1984,,T.PINKISH-WHITE.S.WHITE SPLASHED PINK.C.WHITE SHADED PINK.VEINED PINK.,PINK FAIRY X PINK GALORE.,WEEKS
MERLE HODGES,LABU-TRAL,DUBL,1950,70,T.RED.S.ROSY RED.BROAD AND UPTURNED.C.SOFT POWDER BLUE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,HODGES
MERRY ENGLAND,UPRT BUSH,DUBL,1968,980,T.ROSE-RED.S.WHITE INNER.PINK OUTER.C.DARK VIOLET BLUE FADING VIOLET.,SLEIGHBELLS X PEPI.,GADSBY
MERRY MARY,LABU-TRAL,DUBL,1965,624,T.PINK.S.PINK.DEEPER UNDER.NEAR WHITE AT TIPS.C.WHITE.SPLASHED PINK.,PARENTAGE UNKNOWN. RAISED BY FUCHSIA FOREST.,CASTRO
METEOR,LABU-TRAL,SGLE,1862,,T&S.RED.C.DEEPER RED.ALMOST A SELF.,PARENTAGE NOT KNOWN. SYNONYMOUS WITH AUTUMNALE.,CORNELISSEN
MICHAEL,,,,,"RAISED BY ""RANKIN"" N.Z. NO DESCRIPTION.",OREGON TRAIL X MORNING LIGHT. RAISED BY RANKIN.,RANKIN.N.Z
MICKY GOULT,UPRT BUSH,SGLE,1981,,T.SHORT WHITE.S.SHORT BROAD WHITE INNER.PINK OUTER.C.SHORT.MALLOW PURPLE.,BOBBY SHAFTOE X SANTA BARBARA. (SYN.LUSTRE).,ROE
MIDNIGHT SUN,TALL UPRT,DUBL,1960,440,T.PINK.BROAD UPTURNED SEPALS PINK TOP.CARMINE OUTER.C.DARK BURGUNDY PURPLE.,PARENTAGE UNKNOWN.,WALTZ
MIEKE,UPRIGHT,SIDL,2005,5670,SEPALS DARK REDDISH PURPLE; COROLLA DARK ROSE,?ROESSE BLACKY X ?SOPHIE MICHIELS?,MICHIELS BELG
MIEKE MEURSING,VIG BUSH,SIDL,1968,,T&S.GLOSSY CERISE-RED.C.PALE PINK.DEEPER PINK VEINS.,CHANCE SEEDLING. SYN.WITH PINK SPANGLES.,HOPWOOD
MILKY WAY,TRAILER,DUBL,1967,702,T.WHITE.S.PALEST PINK FADING INTO THE COROLLA.C.WHITE.FLOWERS LARGE.,PARENTAGE UKNOWN.,PASKESEN
MILLIE'S TIE DYE,LABU-TRAL,SGLE,1983,1739,T.CARDINAL RED.S.LIGHTER CARDINAL RED.C.VIOLET MATURING TO CYCLAMEN-PURPLE.,CHANCE SEEDLING.,DRAPKIN
MILLION DOLLAR,TRAILER,DUBL,,,T&S ROSE RED.C.DEEP VIOLET PURPLE.MORE OPEN THAN MILLIONARE.FOLIAGE DARKER.,PARENTAGE UNKNOWN.LISTED BY GRO-WEL.SIM.TO MILLIONARE.,UNKNOWN.N.Z
MILLIONAIRE,TRAILER,DUBL,1955,235,T.SHORT ROSE-RED.S.BROAD ROSE RED.C.DEEP VIOLET PURPLE.LARGE BLOOMS.,PARENTAGE UNKNOWN.,TIRET
MILWHEEL,UPRT BUSH,DUBL,,,T&S.CARMINE.C.BLUISH VIOLET.PETALOIDS SPLASHED PINK.,PARENTAGE UNKNOWN. RAISED OR FOUND IN N.Z.,UNKNOWN.N.Z
MINARETTE,LOW BUSH,SGLE,,,T.ROSE.S.WHITE.TIPS GREEN.C.CERISE.FLOWERS SMALL.,PARENTAGE UNKNOWN. RAISED BY L.SMITH.,SMITH.L.N.Z
MING,UPRT BUSH,SGLE,1968,,T&S.ORANGE RED FLUSHED CERISE.C.CHERRY RED PALER AT BASE.FLOWERS SMALL.,CHANG X.,JENNINGS
MINI,LOW BUSH,SGLE,,,T&S PINK.C.PALE BLUE.FLRS.SML.NOT AS IN BOULLEMIER.,PARENTAGE UNKNOWN. RAISED NZ.THIS IS NOT MINI BY CASTRO.,THOMPSON.N.Z
MINI SKIRT,LOW BUSH,DUBL,1981,1618,T.SHORT THIN GREEN-WHITE.S.WHITE BROAD.TIPS GREEN.C.SMOKEY MAUVE.GREY-ROSE.,PEPI X APPLAUSE.,STUBBS
MINI SKIRT (AUST),LABU-TRAL,SIDL,1971,,SAME COLOURING AND SYNONYMOUS WITH CAMERON RYLE.,SYN.WITH CAMERON RYLE. WRONGLY NAMED IMPORT FROM AUST.,ATKINSON
MINOS,UPRT BUSH,DUBL,1902,,T&S.SCARLET.C.PURPLE.,PARENTAGE UNKNOWN. TWO OF THIS NAME. SEM-DBL.BY LEMOINE.,ROZAIN
MINUET,UPRIGHT,SGLE,1943,,T&S.RED.C.BRILLIANT PURPLE.FLOWERS LARGE.,PARENTAGE UNKNOWN.,NIEDERHOLZER
MIPAN,UPRT BUSH,SGLE,1976,,T.PALE CARMINE.S.CARMINE PINK.REFLEXED.C.MAGENTA PINK FLUSHED CARMINE PINK.,PARENTAGE UNKNOWN.,GUBLER
MIRIAM,UPRT BUSH,DUBL,,,T&S.RED.C.DEEP BLUE FLECKED RED.,PARENTAGE AND RAISER UNKNOWN. RAISED OR FOUND IN N.Z,UNKNOWN.N.Z
